Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
first+23,0.235294118,0.235294118,0.235294118,0.176470588,0.117647059,6.235294118,6.03367163,13.12974428,-10.79584775,2315.294118,2.815825158,33.29411765,75.92376471,6.044705882,8921.176471,0.845882353,1.441176471,1.865882353,5.389411765,698.3235294,22.25882353,56.82352941,3.567647059,4.411764706,1.241764706,1.371294118,2342.352941,13.54117647,188.5411765,823
1s+26,0.25,0.55,0.05,0.1,0.05,6.65,4.636032093,8.105793895,-4.95,2183.3,3.575228245,28.95,64.5109,5.648,8390.5,0.821,1.328,1.9065,4.722,688.53,21.115,58.25,3.5375,4.2,1.199,1.3445,2214.05,12.49,180.465,825
1s+11,0.2,0.15,0.25,0.2,0.2,6.1,5.671590278,10.59965788,-9.97,2470.95,2.627003475,37.7,87.51075,6.4565,9885.5,0.8595,1.472,1.855,5.8495,705.08,23.71,56.3,3.63,4.6,1.257,1.3815,2494.7,13.63,201.84,829.7
first+30,0.222222222,0.222222222,0.222222222,0.222222222,0.111111111,6.222222222,5.913904426,13.14521344,-10.07407407,2347.222222,3.062786403,33.77777778,77.03577778,6.096666667,8993.333333,0.848888889,1.442222222,1.87,5.468888889,697.5777778,22.57777778,56.77777778,3.561111111,4.444444444,1.244444444,1.372888889,2372.777778,12.93333333,192.5777778,834.6
first+29,0.235294118,0.235294118,0.235294118,0.235294118,0.058823529,6.235294118,6.006295787,12.70766391,-10.96193772,2268.647059,2.629936888,31.41176471,70.75258824,5.875882353,8390.588235,0.844705882,1.438823529,1.874705882,5.267058824,693.3176471,21.84705882,56.88235294,3.514705882,4.352941176,1.241176471,1.370823529,2295.705882,12.61176471,185.6117647,836
first+37,0.210526316,0.210526316,0.210526316,0.263157895,0.105263158,6.210526316,5.799206084,13.07281298,-9.440443213,2375.789474,3.289914548,34.21052632,78.03073684,6.143157895,9057.894737,0.851578947,1.443157895,1.873684211,5.54,696.9105263,22.86315789,56.73684211,3.555263158,4.473684211,1.246842105,1.374315789,2400,12.38947368,196.1894737,836
2s+33,0.2,0.25,0.4,0.1,0.05,5.8,6.389024705,9.850128554,-14.07,2132.45,1.492886044,28.1,62.7189,5.517,7377.5,0.852,1.5055,1.8715,4.97,685.07,20.58,55.8,3.44,4.2,1.249,1.3856,2170.95,11.835,161.33,841.4
first+15,0.266666667,0.266666667,0.266666667,0.133333333,0.066666667,6.266666667,6.253397719,12.52583156,-12.8,2185.8,2.138981455,30,67.39426667,5.728666667,8146.666667,0.837333333,1.436,1.866,5.06,694.44,21.02666667,57,3.523333333,4.266666667,1.234666667,1.366933333,2216.466667,13.94666667,175.5333333,847.8
first+35,0.235294118,0.235294118,0.235294118,0.294117647,0,6.235294118,5.978426922,11.48403281,-11.12802768,2222,2.293085678,29.52941176,65.58141176,5.707058824,7860,0.843529412,1.436470588,1.883529412,5.144705882,688.3117647,21.43529412,56.94117647,3.461764706,4.294117647,1.240588235,1.370352941,2249.058824,11.68235294,182.6823529,851
first+21,0.266666667,0.266666667,0.266666667,0.2,0,6.266666667,6.218883626,11.4674358,-13.01333333,2132.933333,1.879555026,27.86666667,61.5336,5.537333333,7545.333333,0.836,1.433333333,1.876,4.921333333,688.7666667,20.56,57.06666667,3.463333333,4.2,1.234,1.3664,2163.6,12.89333333,172.2133333,858.4
first+22,0.25,0.25,0.25,0.1875,0.0625,6.25,6.127988404,12.69446492,-11.8125,2229.8125,2.396298544,30.75,69.178375,5.806875,8276.25,0.84125,1.4375,1.870625,5.17,693.84375,21.4625,56.9375,3.51875,4.3125,1.238125,1.369,2258.5625,13.2375,180.8875,861.8
first+42,0.222222222,0.222222222,0.222222222,0.333333333,0,6.222222222,5.863665615,11.38122051,-10.37037037,2259.111111,2.479317593,30.22222222,67.268,5.777777778,7991.111111,0.846666667,1.437777778,1.886666667,5.237777778,688.1222222,21.8,56.88888889,3.461111111,4.333333333,1.243333333,1.372,2284.666667,11.17777778,187.0444444,862.6
1s+8,0.65,0.05,0.2,0.05,0.05,7.55,6.150244397,7.49481913,-16.53,1970.95,0.893642696,28.95,64.46915,5.689,8525.5,0.7765,1.3175,1.7765,4.8145,729.945,18.555,60.2,3.7225,4.15,1.2065,1.3146,1986.45,26.605,176.265,862.7
first+28,0.25,0.25,0.25,0.25,0,6.25,6.097107608,11.52565132,-12,2180.25,2.094066774,28.75,63.684,5.6275,7712.5,0.84,1.435,1.88,5.04,688.525,21.025,57,3.4625,4.25,1.2375,1.3685,2209,12.25,177.775,872
2s+9,0.3,0.55,0.05,0.05,0.05,6.8,4.314112234,8.227330034,-5.44,2127.2,3.217128024,28.2,62.66055,5.578,8324.5,0.8115,1.312,1.8955,4.6005,692.205,20.53,58.65,3.56,4.15,1.1925,1.3371,2157.95,14.22,176.48,903
2s+17,0.5,0.3,0.05,0.05,0.1,7.4,4.808612585,9.044056951,-6.36,2132.45,3.032389818,31.3,70.64065,5.904,9269,0.7895,1.2825,1.829,4.8985,719.185,20.29,59.95,3.72,4.25,1.1945,1.3179,2150.7,21.805,188.33,909.2
2s+23,0.5,0.2,0.05,0.1,0.15,7.4,5.327599814,9.16881043,-6.12,2248.1,3.368039661,34.7,79.43055,6.2325,10023,0.7965,1.2975,1.8155,5.2745,726.65,21.34,59.8,3.775,4.4,1.206,1.3223,2261.35,22.545,200.94,910.5
