Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
first+20,0.2,0.2,0.2,0.1,0.3,6.2,5.770092692,12.9458383,-8.4,2560.1,3.945552455,41,96.5082,6.759,10920,0.858,1.452,1.847,6.02,713.33,24.52,56.5,3.73,4.7,1.251,1.3772,2583.1,15.06,209.4,684.2
2s+14,0.15,0.05,0.3,0.25,0.25,5.85,4.804549024,9.495586037,-9.43,2594.85,2.612897288,40.85,95.74735,6.747,10421.5,0.8765,1.5205,1.8485,6.2485,707.525,24.885,55.5,3.6475,4.75,1.2765,1.3964,2616.85,12.815,210.795,698
1s+34,0.4,0.4,0.05,0.1,0.05,7.1,4.700286577,8.585084728,-6.3,2129,2.901213553,29.4,65.55145,5.7155,8647,0.8015,1.2995,1.8645,4.7655,704.37,20.41,59.3,3.62,4.2,1.196,1.3283,2152.25,17.605,183.69,700
1s+4,0.1,0.3,0.35,0.1,0.15,5.6,6.020757012,10.33809395,-9.24,2333.8,2.611151911,32.9,75.41705,5.9595,8544,0.8695,1.5175,1.8855,5.3835,685.97,22.56,55.2,3.495,4.4,1.256,1.3961,2371.55,9.805,176.86,704
first+17,0.235294118,0.235294118,0.235294118,0.117647059,0.176470588,6.235294118,6.060562047,13.12974428,-10.62975779,2361.941176,2.917440292,35.17647059,81.09494118,6.213529412,9451.764706,0.847058824,1.443529412,1.857058824,5.511764706,703.3294118,22.67058824,56.76470588,3.620588235,4.470588235,1.242352941,1.371764706,2389,14.47058824,191.4705882,710
1s+12,0.25,0.2,0.1,0.2,0.25,6.55,5.603439642,10.35336827,-6.13,2560.05,4.323840201,40.65,95.06965,6.7615,10971,0.8465,1.399,1.8515,5.9915,715.44,24.505,57.45,3.7375,4.7,1.241,1.3632,2576.55,15.65,218.205,710.2
first+25,0.210526316,0.210526316,0.210526316,0.157894737,0.210526316,6.210526316,5.843648624,13.33206521,-9.174515235,2459.263158,3.573709994,37.57894737,87.28442105,6.445263158,10007.36842,0.853684211,1.447368421,1.857894737,5.758947368,705.8684211,23.6,56.63157895,3.65,4.578947368,1.247894737,1.375157895,2483.473684,14.05263158,201.4315789,716.2
first+8,0.285714286,0.285714286,0.285714286,0.071428571,0.071428571,6.285714286,6.38119983,12.06199294,-13.95918367,2135.5,1.845264488,29.14285714,65.35528571,5.639285714,7998.571429,0.832857143,1.434285714,1.860714286,4.934285714,695.1214286,20.52857143,57.07142857,3.528571429,4.214285714,1.230714286,1.364571429,2168.357143,14.75714286,169.4142857,718.4
first+11,0.235294118,0.235294118,0.235294118,0.058823529,0.235294118,6.235294118,6.086974384,12.70766391,-10.46366782,2408.588235,2.925124376,37.05882353,86.26611765,6.382352941,9982.352941,0.848235294,1.445882353,1.848235294,5.634117647,708.3352941,23.08235294,56.70588235,3.673529412,4.529411765,1.242941176,1.372235294,2435.647059,15.4,194.4,721.4
first+32,0.2,0.2,0.2,0.2,0.2,6.2,5.73050853,13.3808668,-8.64,2480.8,3.84204333,37.8,87.7172,6.472,10018,0.856,1.448,1.862,5.812,704.82,23.82,56.6,3.64,4.6,1.25,1.3764,2503.8,13.48,204.42,722.2
first+18,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,6.222222222,5.962422875,13.14521344,-9.777777778,2435.333333,3.274054411,37.33333333,86.80355556,6.415555556,9995.555556,0.851111111,1.446666667,1.853333333,5.7,707.0333333,23.35555556,56.66666667,3.661111111,4.555555556,1.245555556,1.373777778,2460.888889,14.68888889,198.1111111,723.2
2s+35,0.45,0.1,0.25,0.1,0.1,6.85,6.361184591,9.697608166,-16.06,2149.15,1.297734408,31.65,71.6652,5.912,8805,0.813,1.3945,1.812,5.17,716.55,20.435,58.35,3.6575,4.3,1.229,1.3457,2170.4,20.675,181.995,726.4
first+40,0.181818182,0.181818182,0.181818182,0.227272727,0.227272727,6.181818182,5.537364469,13.32999587,-7.636363636,2554.045455,4.458328203,39.63636364,92.46063636,6.648636364,10446.36364,0.860909091,1.450909091,1.862272727,5.998181818,706.8772727,24.51818182,56.5,3.663636364,4.681818182,1.254090909,1.378909091,2574.954545,13.20909091,211.8454545,726.8
2s+21,0.2,0.15,0.15,0.3,0.2,6.3,5.398348442,10.08414339,-7.15,2566.65,3.619925402,39.7,92.31805,6.6725,10453.5,0.8585,1.437,1.863,6.0465,707.77,24.63,56.8,3.66,4.7,1.254,1.3753,2583.9,13.28,217.12,730.2
first+16,0.25,0.25,0.25,0.125,0.125,6.25,6.158306183,12.96635773,-11.625,2279.375,2.542382078,32.75,74.67275,5.98625,8840,0.8425,1.44,1.86125,5.3,699.1625,21.9,56.875,3.575,4.375,1.23875,1.3695,2308.125,14.225,184,730.8
first+1,0.307692308,0.307692308,0.307692308,0,0.076923077,6.307692308,6.508984952,10.6859262,-15.33727811,2077.461538,1.447427668,28.15384615,63.00261538,5.536153846,7827.692308,0.827692308,1.432307692,1.854615385,4.789230769,695.9076923,19.95384615,57.15384615,3.534615385,4.153846154,1.226153846,1.361846154,2112.846154,15.69230769,162.3538462,732.6
2s+36,0.55,0.05,0.2,0.05,0.15,7.25,6.280319115,9.021126853,-14.77,2162.45,1.320767486,33.65,76.96085,6.116,9559.5,0.7975,1.3535,1.7835,5.2655,731.105,20.425,59.3,3.7675,4.35,1.2205,1.3302,2177.95,24.725,189.215,736
first+7,0.307692308,0.307692308,0.307692308,0.076923077,0,6.307692308,6.464450347,10.6859262,-15.62130178,2016.461538,1.379383069,25.69230769,56.24030769,5.315384615,7133.846154,0.826153846,1.429230769,1.866153846,4.629230769,689.3615385,19.41538462,57.23076923,3.465384615,4.076923077,1.225384615,1.361230769,2051.846154,14.47692308,158.5230769,737
1s+24,0.05,0.15,0.25,0.25,0.3,5.65,4.581119732,9.495586037,-5.5,2718.55,4.693495531,43.15,101.8528,6.9535,10985.5,0.89,1.524,1.873,6.422,702.565,26.165,55,3.6525,4.85,1.2775,1.4045,2742.3,10.02,218.775,737
first+46,0.181818182,0.181818182,0.181818182,0.272727273,0.181818182,6.181818182,5.520173589,13.25390194,-7.73553719,2518,4.314286682,38.18181818,88.46472727,6.518181818,10036.36364,0.86,1.449090909,1.869090909,5.903636364,703.0090909,24.2,56.54545455,3.622727273,4.636363636,1.253636364,1.378545455,2538.909091,12.49090909,209.5818182,737.6
1s+14,0.55,0.1,0.05,0.1,0.2,7.55,5.540792295,8.569597767,-5.88,2307.65,3.36320277,37.35,86.3701,6.491,10711,0.794,1.2965,1.791,5.529,737.79,21.805,60.05,3.8525,4.5,1.211,1.3193,2315.9,25.015,209.565,738
first+26,0.2,0.2,0.2,0.15,0.25,6.2,5.750467416,13.27583125,-8.52,2520.45,3.9273555,39.4,92.1127,6.6155,10469,0.857,1.45,1.8545,5.916,709.075,24.17,56.55,3.685,4.65,1.2505,1.3768,2543.45,14.27,206.91,740
1s+20,0.55,0.2,0.05,0.1,0.1,7.55,5.097494089,8.569597767,-6.56,2152.35,2.811703316,32.35,73.1847,6.019,9506,0.786,1.2795,1.812,5.049,726.07,20.405,60.25,3.7525,4.3,1.199,1.3145,2165.6,23.485,194.465,745.8
